YES ACADEMY  -  LIVE ATTENDANCE DASHBOARD,,,,,,,,,,,,,
Live snapshot  |  Today: ,,,,,,,,,,,,,
Sections: Active/Completed Stats (row 5) | Overall Batch Summary (row 16) | Upcoming Batches (row 21) | Daily Batch Summary (row 34) | Missed Attendance (row 46) | Live Now (row 58),,,,,,,,,,,,,
,,,,,,,,,,,,,
ACTIVE BATCHES,,,,,,,,,,,,,
Total PTE Active,,Total PTE Booster Active,,Total CD IELTS Active,,Total CD IELTS CRASH Active,,Total Basic Grammar Active,,,,,
10,,0,,4,,1,,0,,,,,
,,,,,,,,,,,,,
COMPLETED BATCHES,,,,,,,,,,,,,
Total PTE Finished,,Total PTE Booster Finished,,Total CD IELTS Finished,,Total CD IELTS CRASH Finished,,Total Basic Grammar Finished,,,,,
0,,0,,1,,0,,0,,,,,
,,,,,,,,,,,,,
Total Active Batches,,Total Active Students,,Total Completed Batches,,Total Upcoming Batches,,Total Paused Batches,,,,,
15,,31,,100.0%,,10,,0,,,,,
,,,,,,,,,,,,,
OVERALL BATCH SUMMARY,,,,,,,,,,,,,
PTE Family (PTE + PTE Booster),,,,,,IELTS Family (CD IELTS + CD IELTS CRASH),,,,,,,
Active,Completed,Upcoming,Paused,,,Active,Completed,Upcoming,Paused,,,,
10,0,9,0,,,5,1,1,0,,,,
,,,,,,,,,,,,,
UPCOMING BATCH NUMBERS,,,,,,,,,,,,,
Batch,,,,,,,,,,,,,
PTE-168,,,,,,,,,,,,,
PTE-169,,,,,,,,,,,,,
PTE-170,,,,,,,,,,,,,
PTE-171,,,,,,,,,,,,,
PTE-172,,,,,,,,,,,,,
PTE-173,,,,,,,,,,,,,
PTE-174,,,,,,,,,,,,,
PTE-175,,,,,,,,,,,,,
PTE-176,,,,,,,,,,,,,
CD IELTS-113,,,,,,,,,,,,,
,,,,,,,,,,,,,
DAILY BATCH SUMMARY - TODAY'S RUNNING BATCHES,,,,,,,,,,,,,
PTE Family (PTE + PTE Booster),,,,,,,IELTS Family (CD IELTS + CD IELTS CRASH),,,,,,
Batch,Teacher,Course,Start,End,,,Batch,Teacher,Course,Start,End,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
⚠ MISSED ATTENDANCE WARNING,,,,,,,,,,,,,
Batch,Teacher,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Warnings clear automatically once attendance is entered for the current class (they are driven by Admin columns AD/AJ).,,,,,,,,,,,,,
LIVE NOW - What is happening right now,,,,,,,,,,,,,
Today:,"Sunday, 09-Aug-2026",,Current Time:,1:47:33 AM,,helper (do not delete):,0,,,,,,
"Note: NOW() reads the workbook's Time Zone + Locale (File > Settings in Google Sheets, or system clock in Excel) and only refreshes on edit/recalculation. Set Time Zone to Asia/Dhaka (GMT+6) and recalculation to 'On change and every minute' so this always shows the exact current time.",,,,,,,,,,,,,
Room,Batch,Course,Teacher,Monitor Teacher,Status,,,,,,,,
Lab Room 01,,,,,No class right now,,,,,,,,
Lab Room 02,,,,,No class right now,,,,,,,,
Lab Room 03,,,,,No class right now,,,,,,,,
Class Room 01,,,,,No class right now,,,,,,,,
,,,,,,,,,,,,,
"If nothing is running for any room above, ""No class right now"" is shown automatically for every room.",,,,,,,,,,,,,
,,,,,,,,Teacher,Batch,Date,Time,Attempt,Count
,,,,,,,,soumikdastider@gmail.com,PTE-161,05-Aug-2026,11:28 PM,"Tried editing locked attendance column N [different class column, same day]",4
,,,,,,,,soumikdastider@gmail.com,PTE-161,05-Aug-2026,11:29 PM,Tried editing locked attendance column M,3
,,,,,,,,soumikdastider@gmail.com,PTE-161,06-Aug-2026,5:42 PM,"Tried editing locked attendance column N [different class column, same day]",3
,,,,,,,,soumikdastider@gmail.com,PTE-162,06-Aug-2026,6:10 PM,Tried editing locked attendance column M,3
,,,,,,,,soumikdastider@gmail.com,PTE-162,06-Aug-2026,6:11 PM,Tried editing locked attendance column M,4
